SXUV Responsivity 
lambda (nm)	Responsivity (A/W)       
 2.26951053669467e+001    1.48561151079137e-001
 2.40633413735551e+001    1.28417266187050e-001
 2.45375110663982e+001    1.18345323741007e-001
 2.50210243036028e+001    1.08273381294964e-001
 2.60168214996731e+001    9.82014388489209e-002
 2.65294846443190e+001    9.56834532374101e-002
 2.70522498492753e+001    9.31654676258993e-002
 2.75853161762918e+001    9.06474820143885e-002
 2.81288866096426e+001    8.81294964028777e-002
 2.86831681334201e+001    8.81294964028777e-002
 2.92483718103516e+001    8.81294964028777e-002
 3.04124107515622e+001    8.81294964028777e-002
 3.10116892657478e+001    8.81294964028777e-002
 3.55506427921395e+001    9.56834532374101e-002
 3.62511704998853e+001    9.82014388489209e-002
 3.91940677484722e+001    9.82014388489209e-002
 4.07539296587178e+001    9.56834532374101e-002
 4.15569884695635e+001    9.31654676258993e-002
 4.23758716060406e+001    9.06474820143885e-002
 4.40623642777357e+001    8.30935251798561e-002
 4.67187834644427e+001    7.05035971223022e-002
 4.85781171597067e+001    6.29496402877698e-002
 5.05114493954716e+001    5.79136690647482e-002
 5.15067807616812e+001    5.53956834532374e-002
 5.79044398060249e+001    4.53237410071942e-002
 6.02089449333613e+001    4.28057553956835e-002
 6.13953660742271e+001    4.02877697841727e-002
 6.26051657201482e+001    4.02877697841727e-002
 6.38388045460735e+001    3.77697841726619e-002
 6.50967523045817e+001    3.77697841726619e-002
 6.63794880047562e+001    3.52517985611511e-002
 6.76875000945854e+001    3.27338129496403e-002
 7.03813555493155e+001    3.02158273381295e-002
 7.17682246970630e+001    3.02158273381295e-002
 7.31824221907618e+001    2.76978417266187e-002
 7.46244865372303e+001    2.76978417266187e-002
 7.60949668545988e+001    2.51798561151079e-002
 7.91234261898132e+001    2.26618705035971e-002
 8.06825584030289e+001    2.26618705035971e-002
 8.22724134170047e+001    2.26618705035971e-002
 8.38935966265099e+001    2.01438848920863e-002
 8.55467253556568e+001    2.01438848920863e-002
 8.72324290929691e+001    2.01438848920863e-002
 9.07041418111680e+001    1.76258992805755e-002
 9.24914727721733e+001    1.76258992805755e-002
 9.43140232049732e+001    1.76258992805755e-002
 9.61724871115296e+001    1.76258992805755e-002
 9.80675721691578e+001    1.76258992805755e-002
 1.01970506445810e+002    1.76258992805755e-002
