wavelength(nm)    spectral_current_density(A*m^-2*nm^-1)    error(A*m^-2*nm^-1)
12.85 4.3139677344043395e-09 1.8322878395240769e-09
12.95 5.3983221957162185e-09 2.0326943493688617e-09
13.05 7.238676391534949e-09 2.6396957449431692e-09
13.15 6.91416243183714e-09 2.550534489036284e-09
13.25 5.9083859306280914e-09 2.392534259010216e-09
13.35 4.6207572766641886e-09 2.431739445534593e-09
13.45 4.30094634292357e-09 2.0928572107200284e-09
13.55 4.165464608295386e-09 1.7475625060705266e-09
13.65 4.0834528106684905e-09 1.6860563617686714e-09
13.75 4.556597824318819e-09 1.9204633441470698e-09
13.85 4.5408258351936174e-09 1.9658324691408353e-09
13.95 5.235216546646534e-09 2.2473675062453066e-09
14.05 6.040129149143911e-09 3.4519165011576764e-09
14.15 5.841051436478963e-09 3.2362320424212347e-09
14.25 5.2709808953157955e-09 2.055979362260886e-09
14.35 8.003094310813778e-09 2.73100482122981e-09
14.45 1.1120572726287062e-08 3.989222799433169e-09
14.55 1.1468952539783091e-08 4.1220973042700304e-09
14.65 1.0761256843467528e-08 4.021996749580391e-09
14.75 1.910087907166613e-08 9.681555569223423e-09
14.85 2.2061952582686002e-08 1.1575044190298096e-08
14.95 2.159796383430202e-08 8.514619970567283e-09
15.05 1.3727137858641805e-08 4.6677207809848824e-09
15.15 1.605801604296438e-08 1.023859723999449e-08
15.25 1.3917057634468059e-08 1.1349463839332521e-08
15.35 1.1730917713670585e-08 9.199923024638144e-09
15.45 8.791528683931147e-09 7.134649017892035e-09
15.55 6.682581013727597e-09 4.195701437500509e-09
15.65 6.70674533897945e-09 4.691254193023407e-09
15.75 1.1034835057970294e-08 9.287365683529926e-09
15.85 1.2057221998790538e-08 8.857099705783425e-09
15.95 1.0534842590092179e-08 5.267000193413599e-09
16.05 8.784694166458631e-09 5.7431060744570445e-09
16.15 8.116440584538136e-09 6.0054902260588964e-09
16.25 6.226694413762673e-09 4.9587280312173506e-09
16.35 8.363361267876325e-09 8.1776372206021e-09
16.45 1.0005514582471668e-08 9.578368904530392e-09
16.55 9.519506835519017e-09 6.682884273312159e-09
16.65 2.2186785078046896e-08 7.548600121059443e-09
16.75 4.404503678588689e-08 1.4977606966680957e-08
16.85 5.744051509632126e-08 1.9528404166114547e-08
16.95 1.8268492690631183e-07 6.204716271528829e-08
17.05 2.988049043063238e-07 1.0147852181836292e-07
17.15 2.9872845017009556e-07 1.0145787215839362e-07
17.25 1.7062183926282697e-07 5.795075710557663e-08
17.35 2.0980431342220266e-07 7.12733312042427e-08
17.45 2.3455253479538689e-07 7.965982964195783e-08
17.55 2.633685319910359e-07 8.945893718147328e-08
17.65 1.7893197041277506e-07 6.079284604832705e-08
17.75 1.5660495066965998e-07 5.31982510642363e-08
17.85 1.3403985610521076e-07 4.553783203791154e-08
17.95 1.660808404707062e-07 6.649283071576214e-08
18.05 1.8485272083792097e-07 8.906281073556358e-08
18.15 1.7571655819378213e-07 6.818166728427555e-08
18.25 5.445766014301205e-08 2.416439753600198e-08
18.35 9.221354669568832e-08 3.1331904509924834e-08
18.45 9.546674418399942e-08 3.435534820272392e-08
18.55 1.0934565121511536e-07 3.716993820389321e-08
18.65 8.979923697900141e-08 4.4672252111793154e-08
18.75 1.810100873048299e-07 9.072061358953661e-08
18.85 1.7438442804132158e-07 7.961637390166964e-08
18.95 1.5198841645380007e-07 5.162580856958403e-08
19.05 6.565516606845374e-08 2.8115821206633894e-08
19.15 9.392867973263364e-08 4.466902093784459e-08
19.25 1.484221040419456e-07 8.98886733457642e-08
19.35 1.736802278128508e-07 1.0341464988688486e-07
19.45 2.0542143957910208e-07 1.4306258210195834e-07
19.55 1.4913889022072643e-07 1.1024253730639714e-07
19.65 9.488160462160367e-08 4.6445374393208507e-08
19.75 4.8286632442881436e-08 2.7891153132022404e-08
19.85 3.907377442429887e-08 1.8532913575865626e-08
19.95 4.080294695904656e-08 2.466279066123783e-08
20.05 6.631439231875114e-08 5.145098100434726e-08
20.15 1.288102239036133e-07 1.2203897504110938e-07
20.25 1.3369947574581827e-07 1.2280061566226104e-07
20.35 1.0189863217800111e-07 9.187759588979622e-08
20.45 7.072765977247796e-08 7.743863626972844e-08
20.55 3.9276732829157537e-08 2.69513111217232e-08
20.65 4.157226328431873e-08 1.9592307586478174e-08
20.75 4.753304542120166e-08 2.38035635560461e-08
20.85 5.5608419931471136e-08 3.2672820597595925e-08
20.95 5.854297783366146e-08 4.761754811723101e-08
21.05 1.0627353723521355e-07 1.2567794660701932e-07
21.15 1.0046435092129192e-07 1.257308742701961e-07
21.25 6.344432940453565e-08 6.59730436958423e-08
21.35 3.676981693188393e-08 2.4853276743269482e-08
21.45 4.0172949200694205e-08 2.7894416811436714e-08
21.55 5.169273366271866e-08 2.2341334875443675e-08
21.65 6.797711592233204e-08 3.0363582089241405e-08
21.75 7.851740812246168e-08 4.001664833152798e-08
21.85 8.259419614199228e-08 5.6998081489027115e-08
21.95 9.578207004079351e-08 8.213290752193453e-08
22.05 9.04868507941809e-08 6.921680065672282e-08
22.15 7.847069040171278e-08 5.0525682851045954e-08
22.25 7.354318657054657e-08 4.5312948447822296e-08
22.35 9.547087801936073e-08 4.3213800015831563e-08
22.45 1.2701558888463096e-07 5.423550338180125e-08
22.55 1.549642533163343e-07 5.6050915497734446e-08
22.65 1.53363875552938e-07 5.8988979618739254e-08
22.75 1.3753655804787103e-07 6.039650224139795e-08
22.85 9.46930932848052e-08 4.147207587023993e-08
22.95 7.05244766236155e-08 2.440512689856578e-08
23.05 5.988239264904532e-08 2.034352519566231e-08
23.15 5.8917970237987415e-08 2.1263008692076494e-08
23.25 6.594332132868973e-08 2.608654631371816e-08
23.35 9.051291489357392e-08 4.173123436357917e-08
23.45 8.833353112656564e-08 4.082601514381696e-08
23.55 6.840098738917642e-08 2.5651581478732076e-08
23.65 5.832471108046705e-08 2.2654447719694764e-08
23.75 6.759271265964454e-08 2.4842564570233528e-08
23.85 6.631369459953696e-08 3.376587784062163e-08
23.95 6.716308868502689e-08 4.304761485948982e-08
24.05 1.0554424554288119e-07 4.400432735656692e-08
24.15 1.3884888172670572e-07 4.717500162470595e-08
