wavelength(nm)    spectral_current_density(A*m^-2*nm^-1)    error(A*m^-2*nm^-1)
12.65 1.0433064727489145e-09 4.768917711750674e-10
12.75 1.2004066857584163e-09 5.57707528776705e-10
12.85 1.5868989233602367e-09 6.705993372227671e-10
12.95 1.999361044798039e-09 7.477304458772868e-10
13.05 2.696872485220069e-09 9.76026301452397e-10
13.15 2.589191898227497e-09 9.478280983929887e-10
13.25 2.2224249207958783e-09 8.941088259709853e-10
13.35 1.7449291771341874e-09 9.147091773118712e-10
13.45 1.6299534138959998e-09 7.894755992975048e-10
13.55 1.5839108858081756e-09 6.603418702831885e-10
13.65 1.5578667462075518e-09 6.390622762303417e-10
13.75 1.744319722450368e-09 7.305818914116107e-10
13.85 1.7446722336667758e-09 7.508314868191125e-10
13.95 2.019653301560889e-09 8.617544139128149e-10
14.05 2.3408441283217204e-09 1.333211550318159e-09
14.15 2.275439446220079e-09 1.2560866264676036e-09
14.25 2.0654327025696866e-09 7.996004651294162e-10
14.35 3.156773957165883e-09 1.0665045673907633e-09
14.45 4.418872429356587e-09 1.5705811452931892e-09
14.55 4.594527026628502e-09 1.6358080953158701e-09
14.65 4.349477537041457e-09 1.6110349300162154e-09
14.75 7.794506904308934e-09 3.930858303855294e-09
14.85 9.095254884140835e-09 4.748623116642394e-09
14.95 9.000274185026282e-09 3.5161829479226305e-09
15.05 5.7847698398617845e-09 1.9421095505416274e-09
15.15 6.845439984308432e-09 4.348326487453086e-09
15.25 6.002688810408711e-09 4.883576451093048e-09
15.35 5.119735901183065e-09 4.004364540244325e-09
15.45 3.88210613117399e-09 3.1422766167049156e-09
15.55 2.985023140270501e-09 1.8657187304847535e-09
15.65 3.029516879069623e-09 2.1111496585462448e-09
15.75 5.03838084539435e-09 4.229206182507137e-09
15.85 5.561518062345717e-09 4.070764051233504e-09
15.95 4.905795405832674e-09 2.433240698813909e-09
16.05 4.1268613875027146e-09 2.685269417141817e-09
16.15 3.843400999587955e-09 2.8331963824625007e-09
16.25 2.969503471971979e-09 2.3571356658969384e-09
16.35 4.013134419537851e-09 3.915532299106256e-09
16.45 4.826213176837647e-09 4.6097560493076345e-09
16.55 4.611339610564203e-09 3.223723072693012e-09
16.65 1.0782855426927652e-08 3.603527321223128e-09
16.75 2.1456095531193453e-08 7.168381675978754e-09
16.85 2.802112257955247e-08 9.362757314669942e-09
16.95 8.916622829379375e-08 2.977550334168906e-08
17.05 1.457993830038039e-07 4.8707985986213444e-08
17.15 1.4560704987822587e-07 4.867467371449294e-08
17.25 8.301920406280932e-08 2.777142338753137e-08
17.35 1.0184342014081545e-07 3.4099966559301126e-08
17.45 1.135297935600635e-07 3.803195882909842e-08
17.55 1.2705875785065234e-07 4.260494243752928e-08
17.65 8.601309088542461e-08 2.887330227991428e-08
17.75 7.499453304784045e-08 2.5192197500639093e-08
17.85 6.393880266915113e-08 2.1499655947200896e-08
17.95 7.891556754307118e-08 3.138198833218017e-08
18.05 8.750509247269565e-08 4.198203141493658e-08
18.15 8.288576172394506e-08 3.197160290487534e-08
18.25 2.5604795675207967e-08 1.131546405726918e-08
18.35 4.323382000118928e-08 1.4598453452322769e-08
18.45 4.4652884745677765e-08 1.5989256245423717e-08
18.55 5.104982715649291e-08 1.726645222242923e-08
18.65 4.187025249872569e-08 2.0785028155731907e-08
18.75 8.433969994642477e-08 4.218949695551414e-08
18.85 8.124439042562026e-08 3.7013023911284366e-08
18.95 7.084498451295928e-08 2.3974979901257582e-08
19.05 3.063565227171053e-08 1.3089584422471933e-08
19.15 4.389815606963344e-08 2.0838210450306073e-08
19.25 6.950948956188521e-08 4.2048692920511754e-08
19.35 8.154070687798225e-08 4.8492290022102135e-08
19.45 9.671608090227574e-08 6.72930634320286e-08
19.55 7.043520401692236e-08 5.201934682772717e-08
19.65 4.4958232206886996e-08 2.196051286481554e-08
19.75 2.2957782560729822e-08 1.3239278130625597e-08
19.85 1.864136452182057e-08 8.81921987402256e-09
19.95 1.953238027311189e-08 1.1786657094688261e-08
20.05 3.184898829082858e-08 2.468472655755152e-08
20.15 6.205694713540142e-08 5.875211530782659e-08
20.25 6.459970817828345e-08 5.928656530390141e-08
20.35 4.9365409408525936e-08 4.44732015069093e-08
20.45 3.434645701017313e-08 3.7583682891919366e-08
20.55 1.91138164159265e-08 1.3096326369642235e-08
20.65 2.0268423000735343e-08 9.522315006141246e-09
20.75 2.3211879306110578e-08 1.1592222936856177e-08
20.85 2.7193364777204492e-08 1.594634752738194e-08
20.95 2.8663916723297287e-08 2.3291467254325798e-08
21.05 5.2093203332721395e-08 6.157685700211195e-08
21.15 4.930028467343497e-08 6.167501891419342e-08
21.25 3.1169687164797536e-08 3.239435007470234e-08
21.35 1.808794134334828e-08 1.2210765496036283e-08
21.45 1.979166225399503e-08 1.3727012758529624e-08
21.55 2.5512759690756527e-08 1.0995573764843958e-08
21.65 3.362275704538985e-08 1.4980253732634597e-08
