wavelength(nm)    spectral_current_density(A*m^-2*nm^-1)    error(A*m^-2*nm^-1)
12.65 1.4682088257158997e-09 6.958108093381159e-10
12.75 1.692530565163216e-09 8.143241394652839e-10
12.85 2.2410604410418927e-09 9.87544206390166e-10
12.95 2.827352554010236e-09 1.1147042399551182e-09
13.05 3.818042321145718e-09 1.4615038120236157e-09
13.15 3.6690745708618166e-09 1.4188152255861238e-09
13.25 3.1518045958271497e-09 1.3273650200359247e-09
13.35 2.476167151390106e-09 1.3341245618756866e-09
13.45 2.3140602702582854e-09 1.1572296694689169e-09
13.55 2.2493035580103872e-09 9.786275212313337e-10
13.65 2.2124621028073983e-09 9.48431428029153e-10
13.75 2.4768386140807426e-09 1.0822268270707335e-09
13.85 2.476256294234284e-09 1.1093773948747874e-09
13.95 2.864432245440837e-09 1.273217646128157e-09
14.05 3.3164285879110484e-09 1.933523545802554e-09
14.15 3.2191743896303934e-09 1.8217861146784664e-09
14.25 2.916800536487826e-09 1.1863127459348627e-09
14.35 4.448207863525626e-09 1.6019144811426377e-09
14.45 6.210495621281981e-09 2.3392833998014833e-09
14.55 6.438106666491252e-09 2.4286508133718264e-09
14.65 6.074251841295974e-09 2.373796003183512e-09
14.75 1.084498983613698e-08 5.633489171555542e-09
14.85 1.2603796154567511e-08 6.764594655272829e-09
14.95 1.2418459294660574e-08 5.090905524315593e-09
15.05 7.945556444969285e-09 2.8437041645548443e-09
15.15 9.358154566246872e-09 6.056229032033604e-09
15.25 8.166478687397356e-09 6.720072590700035e-09
15.35 6.931260503459465e-09 5.4880820959795504e-09
15.45 5.230091897245043e-09 4.281885527701073e-09
15.55 4.002155574980903e-09 2.5490994931315183e-09
15.65 4.042736459813565e-09 2.860244130333134e-09
15.75 6.693033375407888e-09 5.677087131486607e-09
15.85 7.356142488502334e-09 5.458193080786737e-09
15.95 6.46255327218261e-09 3.29996890487271e-09
16.05 5.4160349123593934e-09 3.5846785042462064e-09
16.15 5.026737192756592e-09 3.755071660398758e-09
16.25 3.8718237444080505e-09 3.108798586146821e-09
16.35 5.218391393614496e-09 5.130351245762116e-09
16.45 6.261023292522607e-09 6.027860263903121e-09
16.55 5.970608274765746e-09 4.235923412356794e-09
16.65 1.3939397885856142e-08 4.954644580938383e-09
16.75 2.770400403651487e-08 9.846983164237217e-09
16.85 3.615065059035847e-08 1.2854460838461836e-08
16.95 1.1497901889923651e-07 4.087853094276551e-08
17.05 1.879748770435434e-07 6.68867888169574e-08
17.15 1.8774915326918884e-07 6.68793620275796e-08
17.25 1.070868537694029e-07 3.819192975668053e-08
17.35 1.3144568411658738e-07 4.694807935385611e-08
17.45 1.4664056509071371e-07 5.2435058461508215e-08
17.55 1.6426112254406844e-07 5.882884902912819e-08
17.65 1.113049341074828e-07 3.993221418932474e-08
17.75 9.714282364220894e-08 3.490045195731283e-08
17.85 8.290216183345124e-08 2.983399740320485e-08
17.95 1.0241195716138658e-07 4.28157670136356e-08
18.05 1.1364550983681437e-07 5.648418501967955e-08
18.15 1.0770929056251258e-07 4.3863221932606656e-08
18.25 3.3285319114480323e-08 1.5345421721388746e-08
18.35 5.620822218766447e-08 2.037834707730651e-08
18.45 5.804204346172713e-08 2.2163860384411193e-08
18.55 6.632310759320863e-08 2.4109810355042444e-08
18.65 5.43508264677902e-08 2.794261957743469e-08
