wavelength(nm)    spectral_current_density(A*m^-2*nm^-1)    error(A*m^-2*nm^-1)
12.75 2.8371244819378527e-10 1.3022000219483534e-10
12.85 3.7351653772720056e-10 1.556245570241777e-10
12.95 4.700206361395378e-10 1.727174190970269e-10
13.05 6.349335531811346e-10 2.2560028441294677e-10
13.15 6.119692108729841e-10 2.200772240166819e-10
13.25 5.284345973717432e-10 2.0950336058943471e-10
13.35 4.18088900459469e-10 2.1728081838978133e-10
13.45 3.940387933353323e-10 1.8890246411135835e-10
13.55 3.8666448282147216e-10 1.589297366009357e-10
13.65 3.8421181959539655e-10 1.552611105733966e-10
13.75 4.346573192341828e-10 1.7938305448798228e-10
13.85 4.391633667491266e-10 1.8630927781850614e-10
13.95 5.133129090344232e-10 2.1577528524208443e-10
14.05 6.003285911275443e-10 3.3901159777612786e-10
14.15 5.883749644628489e-10 3.217982781109532e-10
14.25 5.380241180916922e-10 2.0429013107055484e-10
14.35 8.276742002756973e-10 2.7244855549698143e-10
14.45 1.1651797147801722e-09 4.0442242908491956e-10
14.55 1.2174898781873178e-09 4.2324174242402205e-10
14.65 1.157546259373331e-09 4.1935400505267565e-10
14.75 2.082426449268081e-09 1.0377891517645904e-09
14.85 2.4387014920760567e-09 1.2591978603018948e-09
14.95 2.421761649628404e-09 9.274058996493403e-10
15.05 1.5622540007563987e-09 5.104187406113139e-10
15.15 1.8560930270209783e-09 1.1702923143675528e-09
15.25 1.6349351149754474e-09 1.3241540849147228e-09
15.35 1.401693957756106e-09 1.091017729695818e-09
15.45 1.0692457521154748e-09 8.615766624242328e-10
15.55 8.27866790106962e-10 5.135340465950339e-10
15.65 8.468724672509272e-10 5.865771310262521e-10
15.75 1.4210554126936457e-09 1.187856456833181e-09
15.85 1.58428198162663e-09 1.153244116804679e-09
15.95 1.4128523173677785e-09 6.92319521112018e-10
16.05 1.2027009749170591e-09 7.7707806152062e-10
16.15 1.1344025674163704e-09 8.316272132482005e-10
16.25 8.883116493961788e-10 7.017426671321129e-10
16.35 1.2174624937016603e-09 1.1840392780395425e-09
16.45 1.4854845046958918e-09 1.4140387464890766e-09
16.55 1.440499278175706e-09 1.0005308120306068e-09
16.65 3.4190949899302895e-09 1.109374558055454e-09
16.75 6.905871055955682e-09 2.2386516937721167e-09
16.85 9.153227104445625e-09 2.965487151537955e-09
16.95 2.9551090291130786e-08 9.560779306977842e-09
17.05 4.900175855269106e-08 1.584806832154405e-08
17.15 4.959729661421441e-08 1.6037587063804112e-08
17.25 2.863869050035932e-08 9.258748528478834e-09
17.35 3.554935719432209e-08 1.1493149414035331e-08
17.45 4.005992687282327e-08 1.2945306045014151e-08
17.55 4.5273260703046354e-08 1.4629847048271622e-08
17.65 3.091287725199468e-08 9.990572102530429e-09
17.75 2.7152817353732307e-08 8.772645281302718e-09
17.85 2.3292505277482296e-08 7.52550499622703e-09
17.95 2.8888653261030044e-08 1.116007762223602e-08
18.05 3.214837364904756e-08 1.5115379823597807e-08
18.15 3.052314965603188e-08 1.139930990597878e-08
18.25 9.440201877710734e-09 4.069135189699992e-09
18.35 1.594114817099989e-08 5.149283665985371e-09
18.45 1.6449636347160333e-08 5.659947598285917e-09
18.55 1.8773638358963074e-08 6.066824367152294e-09
18.65 1.5360864713431166e-08 7.46773376683838e-09
18.75 3.0852429664579746e-08 1.51163132405682e-08
18.85 2.9626460364158937e-08 1.3159658740842157e-08
18.95 2.5751453846828447e-08 8.313582902550213e-09
19.05 1.1101947192378509e-08 4.607332557158387e-09
19.15 1.5866162377361893e-08 7.3567143461082336e-09
19.25 2.507188074282151e-08 1.4951077722274183e-08
19.35 2.9375546541508013e-08 1.7212859124405722e-08
19.45 3.4834452497071125e-08 2.3978047455753862e-08
19.55 2.5391641628501234e-08 1.8575615132836455e-08
19.65 1.62421200041673e-08 7.761957735037745e-09
19.75 8.32281884083088e-09 4.7255858959016145e-09
19.85 6.790759556181038e-09 3.139106272385506e-09
19.95 7.159590340480707e-09 4.260050635887498e-09
20.05 1.1762504115333045e-08 9.039844591408223e-09
20.15 2.312132400616654e-08 2.1766948218300192e-08
20.25 2.4309641001392488e-08 2.2176928967651505e-08
20.35 1.8782374891649788e-08 1.6816097821119623e-08
20.45 1.3224621027201686e-08 1.4410271782117269e-08
20.55 7.453391229225515e-09 5.051879795192153e-09
20.65 8.009219340289434e-09 3.6758258041206197e-09
20.75 9.298976021108359e-09 4.548742512481266e-09
20.85 1.104754049804819e-08 6.381788908718683e-09
20.95 1.1810669477236006e-08 9.522378668458317e-09
21.05 2.176972356307371e-08 2.563800850405332e-08
21.15 2.089298383916754e-08 2.6050666028991273e-08
21.25 1.3392550989101065e-08 1.3851438490660258e-08
21.35 7.877083015472987e-09 5.2561021812667765e-09
21.45 8.732689353833003e-09 5.989993032469359e-09
21.55 1.1400938602116285e-08 4.771239264394448e-09
21.65 1.5211293230398514e-08 6.592756449722181e-09
21.75 1.7827772015124256e-08 8.879194199257204e-09
21.85 1.903255514237351e-08 1.2971902424062494e-08
21.95 2.2407399741785747e-08 1.906050852009295e-08
22.05 2.1500839981182836e-08 1.628095891195241e-08
22.15 1.8949582329090204e-08 1.2026969043418405e-08
22.25 1.806231322323168e-08 1.0954931844070013e-08
22.35 2.3867253092892544e-08 1.0487608346244672e-08
22.45 3.235099589019914e-08 1.3358710386858144e-08
22.55 4.025151859301274e-08 1.388485143412831e-08
22.65 4.066422654822089e-08 1.500100526444839e-08
22.75 3.726100199206307e-08 1.585053863902838e-08
22.85 2.623390046961001e-08 1.11274478680876e-08
