wavelength(nm)    spectral_current_density(A*m^-2*nm^-1)    error(A*m^-2*nm^-1)
12.75 7.069571614775475e-09 3.2974702651279674e-09
12.85 9.413800015739778e-09 3.998343118194002e-09
12.95 1.194520644180314e-08 4.497846572962315e-09
13.05 1.6225009985964546e-08 5.916666704798872e-09
13.15 1.568292462105321e-08 5.7851688895697275e-09
13.25 1.3549057754470493e-08 5.486509286730441e-09
13.35 1.0703133042671933e-08 5.632658244285798e-09
13.45 1.0053849412298217e-08 4.892222997644568e-09
13.55 9.817896912180606e-09 4.118939162644293e-09
13.65 9.695822640898724e-09 4.003379093013955e-09
13.75 1.0889593009489664e-08 4.589596724034953e-09
13.85 1.0912531064385215e-08 4.724270855744594e-09
13.95 1.263991765377765e-08 5.4260182317797176e-09
14.05 1.4637513064944493e-08 8.365269756982673e-09
14.15 1.4194165194040413e-08 7.8642437504162e-09
14.25 1.2831869021247239e-08 5.005115847906861e-09
14.35 1.949915276809902e-08 6.653898351553954e-09
14.45 2.7090964770941618e-08 9.71810983046669e-09
14.55 2.790900115434435e-08 1.0030784463256256e-08
14.65 2.6133501132731225e-08 9.767257376693142e-09
14.75 4.6249173727507815e-08 2.3441947502860064e-08
14.85 5.321412223136696e-08 2.7919241290842134e-08
14.95 5.1851723878281774e-08 2.0441462563631624e-08
15.05 3.277594278248922e-08 1.1144866659644226e-08
15.15 3.8104345298036585e-08 2.4295259064006144e-08
15.25 3.2798133785769535e-08 2.6747060611988187e-08
15.35 2.7440712121968904e-08 2.1520207769563337e-08
15.45 2.0401659976539385e-08 1.6556655893296686e-08
15.55 1.5377789106379225e-08 9.65500085624086e-09
15.65 1.5298762519924272e-08 1.0701183892157168e-08
15.75 2.4945202472500932e-08 2.0994839487685862e-08
15.85 2.7006091462135802e-08 1.983829768146617e-08
15.95 2.3376861292008408e-08 1.1687398997832888e-08
16.05 1.931123464805203e-08 1.2624902811371394e-08
16.15 1.767603739162017e-08 1.3078742748366135e-08
16.25 1.3435346418412291e-08 1.069941520176862e-08
16.35 1.7881454576608675e-08 1.7484320675585444e-08
16.45 2.12015877648311e-08 2.0296417293158976e-08
16.55 1.9995904053978367e-08 1.403745536513897e-08
16.65 4.6208160130471374e-08 1.572104756883587e-08
16.75 9.097561996620608e-08 3.0935786432994836e-08
16.85 1.1769482001311447e-07 4.0012569432750536e-08
16.95 3.71413924387444e-07 1.2614441584482237e-07
17.05 6.029189984281028e-07 2.047557275795132e-07
17.15 5.983481966824604e-07 2.0321414530255197e-07
17.25 3.3931080321061446e-07 1.152426131624595e-07
17.35 4.1431327751160026e-07 1.4074487394123232e-07
17.45 4.5999862830658367e-07 1.5622376971136015e-07
17.55 5.130004296431243e-07 1.7424853395961627e-07
17.65 3.4617640169654496e-07 1.1761259990986405e-07
17.75 3.009353475803857e-07 1.0222502515672713e-07
17.85 2.5582697778170296e-07 8.691150420772647e-08
17.95 3.148100273188495e-07 1.2603719202309056e-07
18.05 3.4796067535410886e-07 1.676476053480096e-07
18.15 3.284275951091272e-07 1.2743526932557072e-07
18.25 1.0105211452721593e-07 4.4839302502031206e-08
18.35 1.6985186316739836e-07 5.7710749616370546e-08
18.45 1.745184887955874e-07 6.280278875999575e-08
18.55 1.983472608676831e-07 6.742353717694494e-08
18.65 1.61604459188463e-07 8.039264892154386e-08
