wavelength(nm)    spectral_current_density(A*m^-2*nm^-1)    error(A*m^-2*nm^-1)
12.75 3.771170139782727e-09 1.741282401446786e-09
12.85 5.070361018155584e-09 2.1257386314903376e-09
12.95 6.499118238697869e-09 2.4054932180017347e-09
13.05 8.919247112568445e-09 3.1926968323600456e-09
13.15 8.71103989228307e-09 3.156042508383773e-09
13.25 7.603459126058427e-09 3.034568115228595e-09
13.35 6.067256613589541e-09 3.166958256790663e-09
13.45 5.755587675540126e-09 2.77553130691648e-09
13.55 5.674633894457807e-09 2.354051666164522e-09
13.65 5.656557785778275e-09 2.311064507659257e-09
13.75 6.410934216401835e-09 2.677783333138937e-09
13.85 6.481635380854589e-09 2.785328984869975e-09
13.95 7.573158827668123e-09 3.2303294182248227e-09
14.05 8.84538894586339e-09 5.040291588717215e-09
14.15 8.650455308660079e-09 4.78106044194395e-09
14.25 7.886416058015016e-09 3.064950026064293e-09
14.35 1.208549448204986e-08 4.1109979421084006e-09
14.45 1.6933432737705014e-08 6.064860458909217e-09
14.55 1.7593876627464165e-08 6.3207457562256376e-09
14.65 1.6616713005733556e-08 6.213554927502653e-09
14.75 2.9663362599103097e-08 1.5045385406917487e-08
14.85 3.443125285432844e-08 1.808126557104364e-08
14.95 3.384833392165178e-08 1.3370621590125364e-08
15.05 2.158793350568942e-08 7.362504294043474e-09
15.15 2.5324324237702085e-08 1.6161074891808752e-08
15.25 2.199552416948509e-08 1.7947134022055873e-08
15.35 1.8569649931036547e-08 1.4571180743866152e-08
15.45 1.3931018005177628e-08 1.1310804207722371e-08
15.55 1.0594716406499273e-08 6.656442647510379e-09
15.65 1.0633622823777312e-08 7.441336501821977e-09
15.75 1.748939791200808e-08 1.4723191948163366e-08
15.85 1.9095364422137498e-08 1.4030066626743661e-08
15.95 1.6665907237428962e-08 8.334092704817725e-09
16.05 1.387751547946227e-08 9.072649336383167e-09
16.15 1.2800100949315194e-08 9.470223249186285e-09
16.25 9.800758821968033e-09 7.803919132040355e-09
16.35 1.3135336263289772e-08 1.2842004249108037e-08
16.45 1.5677339403282452e-08 1.500561916264551e-08
16.55 1.4877967213388104e-08 1.0441074620544182e-08
16.65 3.458204802400051e-08 1.1747689290715939e-08
16.75 6.845696940403109e-08 2.3242483922694988e-08
16.85 8.901118370195092e-08 3.021559834046474e-08
16.95 2.8221420622151616e-07 9.571500609025876e-08
17.05 4.601073328169263e-07 1.5606128083644977e-07
17.15 4.5844638612780594e-07 1.5553697424305262e-07
