wavelength(nm)    spectral_current_density(A*m^-2*nm^-1)    error(A*m^-2*nm^-1)
12.85 4.635849700771303e-09 1.981040071765186e-09
12.95 5.8685790968458025e-09 2.226591716151959e-09
13.05 7.957870413621212e-09 2.9251132289610836e-09
13.15 7.682361409065231e-09 2.8557124069139385e-09
13.25 6.630151150244487e-09 2.701788698634125e-09
13.35 5.232311903292637e-09 2.7638412758506658e-09
13.45 4.9097222516738825e-09 2.3994702981250064e-09
13.55 4.7888388222517075e-09 2.020821585535733e-09
13.65 4.722996720146478e-09 1.9618989956175687e-09
13.75 5.2966796662834654e-09 2.2453623825640027e-09
13.85 5.299445117742806e-09 2.3069444059345867e-09
13.95 6.12832317994129e-09 2.645602581747208e-09
14.05 7.085491613029708e-09 4.062271993453892e-09
14.15 6.860717427368015e-09 3.814096667831127e-09
14.25 6.194410872996225e-09 2.4326687327152398e-09
14.35 9.404010312589007e-09 3.2374957055303934e-09
14.45 1.3058367086468978e-08 4.721570534826463e-09
14.55 1.3452301638123681e-08 4.872656453316628e-09
14.65 1.2603651140445982e-08 4.743921981065421e-09
14.75 2.233265597342668e-08 1.1362166050483042e-08
14.85 2.574656339561349e-08 1.355414010958185e-08
14.95 2.515646239041053e-08 9.974934044201966e-09
15.05 1.59582639166059e-08 5.466760743218442e-09
15.15 1.8633877709157798e-08 1.1904921246734642e-08
15.25 1.612223285770683e-08 1.3163097900339192e-08
15.35 1.3569211321406066e-08 1.0654147528391326e-08
15.45 1.0155977071076329e-08 8.250406973415371e-09
15.55 7.711365188500625e-09 4.849319583649464e-09
15.65 7.732545186322494e-09 5.415170760928857e-09
15.75 1.2714138459262781e-08 1.0708770028703657e-08
15.85 1.388523542994104e-08 1.0209187900714711e-08
15.95 1.2127645369351695e-08 6.074289540864641e-09
16.05 1.0110071168318126e-08 6.616080468325845e-09
16.15 9.338674979027797e-09 6.91482526382125e-09
16.25 7.162363004283539e-09 5.707257990608002e-09
16.35 9.616545084240528e-09 9.406617009762425e-09
16.45 1.1498740489497509e-08 1.1012275639137713e-08
16.55 1.0932129139118008e-08 7.680461040049443e-09
16.65 2.545339269111199e-08 8.68967991170738e-09
16.75 5.046243492877771e-08 1.7223036489862298e-08
16.85 6.569737165868189e-08 2.242530433896155e-08
16.95 2.0850305034364645e-07 7.113091962373565e-08
17.05 3.4016151803510427e-07 1.1609537292781647e-07
17.15 3.390470737389266e-07 1.1578741083610121e-07
17.25 1.929729923332527e-07 6.594662320786483e-08
17.35 2.3634436396632754e-07 8.084167328315211e-08
17.45 2.6304653847545484e-07 9.002060798288627e-08
17.55 2.939119607381037e-07 1.0067865301482986e-07
17.65 1.9861450058194705e-07 6.810838378745972e-08
17.75 1.728304576026454e-07 5.930836946514125e-08
17.85 1.4702074874771938e-07 5.0501335154739083e-08
17.95 1.8098862238878678e-07 7.308711061877993e-08
18.05 2.0008849145853924e-07 9.702152382170737e-08
18.15 1.88874511927548e-07 7.405858883216808e-08
18.25 5.811746207794389e-08 2.6008584136753583e-08
18.35 9.769555198083857e-08 3.3702027737216375e-08
18.45 1.0039956249183574e-07 3.664604559412964e-08
18.55 1.1414822829704846e-07 3.9447002598244074e-08
18.65 9.305399303773286e-08 4.666404119238916e-08
18.75 1.8620121697532273e-07 9.408275408077533e-08
18.85 1.7809036355530188e-07 8.212316795368562e-08
18.95 1.5411340809029183e-07 5.330659576424342e-08
19.05 6.610678259478157e-08 2.86401243128115e-08
19.15 9.392334883246898e-08 4.5092858269610825e-08
19.25 1.474078537998124e-07 8.980174476680966e-08
19.35 1.713409427295352e-07 1.0264388237891745e-07
19.45 2.0131584467950655e-07 1.408254875696039e-07
19.55 1.451993890137853e-07 1.0775009143724326e-07
19.65 9.177061084872709e-08 4.531816083976707e-08
19.75 4.6396672299798983e-08 2.696738308475874e-08
19.85 3.729562980170375e-08 1.7851836034942816e-08
19.95 3.86844491455858e-08 2.351322861069293e-08
20.05 6.244111850498991e-08 4.86091358857533e-08
20.15 1.2043852894459637e-07 1.1436354486238423e-07
20.25 1.2411513019707002e-07 1.1426862245589774e-07
20.35 9.390023853055942e-08 8.487441594303714e-08
20.45 6.468699815373667e-08 7.09435061448007e-08
20.55 3.5647178515087636e-08 2.4565662486868438e-08
20.65 3.743716797225544e-08 1.7805250450628076e-08
20.75 4.246891206356588e-08 2.1442837310512944e-08
20.85 4.929295991911945e-08 2.913893903924646e-08
20.95 5.148884160958039e-08 4.2016326681296044e-08
21.05 9.275151901503088e-08 1.0986024211589108e-07
21.15 8.703017143350421e-08 1.0907568625871089e-07
21.25 5.457121411341588e-08 5.686841953471347e-08
21.35 3.141755844306498e-08 2.1346577071370897e-08
21.45 3.411695171291995e-08 2.3809843167928453e-08
21.55 4.3662680851259525e-08 1.9123746771855496e-08
21.65 5.7150217651170374e-08 2.5855561443082183e-08
21.75 6.575921281676842e-08 3.385280603430738e-08
21.85 6.897033063494254e-08 4.7863953489398755e-08
21.95 7.982092125208157e-08 6.869983118802548e-08
22.05 7.532391427384052e-08 5.7889807920337666e-08
22.15 6.530536571434268e-08 4.233144501498434e-08
22.25 6.123860050844306e-08 3.801095327442569e-08
22.35 7.959694243266579e-08 3.652505468522403e-08
22.45 1.0608745673175417e-07 4.600478734782739e-08
22.55 1.2971420881045418e-07 4.794055556242688e-08
22.65 1.2868009439844656e-07 5.045803420131022e-08
22.75 1.1567372190669999e-07 5.1564258351412053e-08
22.85 7.98122842381626e-08 3.549395561532491e-08
22.95 5.95455644749786e-08 2.1121870424406838e-08
23.05 5.0619363574938725e-08 1.7653532706908965e-08
23.15 4.982730910476595e-08 1.8418068452676303e-08
23.25 5.575131972450022e-08 2.2514929005726407e-08
23.35 7.643998992687568e-08 3.580557786159336e-08
23.45 7.44663560656177e-08 3.498507195208987e-08
23.55 5.753009643473199e-08 2.213486438831842e-08
23.65 4.893071438909927e-08 1.948348021848174e-08
23.75 5.656946453040222e-08 2.139397843407696e-08
23.85 5.5397227934769724e-08 2.8648179121116825e-08
23.95 5.6062111758424336e-08 3.629433561130992e-08
24.05 8.81579843498527e-08 3.762956429631852e-08
24.15 1.1625315442176647e-07 4.089394519423627e-08
24.25 1.2465050449277907e-07 4.7038176304688105e-08
24.35 1.0254582607929548e-07 5.643857922229196e-08
24.45 7.72836545819746e-08 4.434950476640361e-08
24.55 6.343819518449851e-08 3.639791376805607e-08
24.65 5.288536376025056e-08 3.640851089580137e-08
24.75 3.873660474816991e-08 2.2344880280940315e-08
24.85 3.8296618723271983e-08 2.764395400770538e-08
24.95 3.035436137018718e-08 2.6906065734537943e-08
25.05 3.20807125179698e-08 3.0747885325030144e-08
25.15 5.332221528515505e-08 6.857503456637862e-08
25.25 5.2309224926829864e-08 5.84054307788212e-08
25.35 3.481083712136855e-08 2.058750204565347e-08
25.45 4.8532826454595925e-08 1.9251769452108522e-08
25.55 1.8794665669411696e-07 6.966412571526874e-08
25.65 2.9340647177535145e-07 1.3697464542876194e-07
25.75 3.051928869610711e-07 1.410282021665368e-07
25.85 1.5848139568550573e-07 7.163914090742375e-08
25.95 6.949458845101416e-08 3.406478072835913e-08
26.05 4.714058188219927e-08 2.9611954947678414e-08
26.15 3.413793167132028e-08 2.549179705388704e-08
26.25 3.442329338076498e-08 3.312900441719975e-08
26.35 4.9343376687849e-08 4.945194074265176e-08
26.45 6.58307335952417e-08 7.584069461298874e-08
26.55 6.009671779396814e-08 6.553044228079656e-08
26.65 1.5208859636945803e-08 9.872119140387867e-09
26.75 1.137376876447174e-08 6.971802589238229e-09
26.85 7.659293371280686e-09 5.913213629350881e-09
26.95 2.1616012169273033e-08 2.6146215142980638e-08
27.05 3.756424597302727e-08 4.1323508641939194e-08
27.15 4.776313405574265e-08 4.1767812830341164e-08
27.25 3.462426044063284e-08 2.0437895574000496e-08
27.35 6.337000706788756e-08 7.599844999488276e-08
27.45 6.887855295926122e-08 8.334663328651144e-08
27.55 5.566780155562905e-08 3.209828709566629e-08
27.65 6.403868329757948e-08 2.5292935998462817e-08
27.75 6.469022004372723e-08 2.7800366159512803e-08
27.85 4.506978686833279e-08 1.66688275158378e-08
27.95 2.6507152966848745e-08 1.0547933971830239e-08
28.05 1.715066040764751e-08 1.1369746145672619e-08
28.15 1.555793497959854e-08 1.2361426812992694e-08
28.25 2.325404533169842e-08 1.69879888461195e-08
28.35 2.2043037154336586e-07 3.546264976102969e-07
28.45 2.447963515789425e-07 3.925396365743653e-07
28.55 7.400444007276323e-08 1.0129298299679006e-07
28.65 1.4995178686145534e-08 1.5831892153878693e-08
28.75 1.5601426395670317e-08 1.8811371371041192e-08
28.85 1.986270641016479e-08 2.653382702020266e-08
28.95 2.6077492900618138e-08 2.259439077334188e-08
29.05 2.7653456328643396e-08 2.1393044639499366e-08
29.15 4.747097204086797e-08 3.044008096261347e-08
29.25 4.166085798345251e-08 2.6339938256189806e-08
29.35 3.3018486266877444e-08 1.5237246603477115e-08
29.45 2.191342873559041e-08 8.904348782366443e-09
29.55 4.166633368331565e-08 1.8836054014265955e-08
29.65 4.0811990361171684e-08 1.8551923485922425e-08
29.75 2.7962656948318768e-08 1.0218035458618603e-08
29.85 7.813280287616036e-09 8.557329367500811e-09
29.95 9.570598370270463e-09 1.0159345077866287e-08
30.05 9.727896931252298e-09 9.606862359962174e-09
30.15 1.5318322416956745e-08 9.109586141784245e-09
30.25 2.53972710357466e-06 8.738213011176877e-07
30.35 3.077458289496363e-06 1.0565776569012871e-06
30.45 3.093399276369775e-06 1.0596039645095227e-06
30.55 5.638532970695428e-07 1.9271793810057612e-07
30.65 3.282744410536717e-08 1.1397042771993916e-08
30.75 2.4915994114427055e-08 1.1888722786176865e-08
30.85 2.1350882574224214e-08 1.3527845895342842e-08
30.95 1.6994446519421173e-08 1.0784283057032224e-08
31.05 1.958072567166992e-08 9.067825159895024e-09
31.15 3.492361803654403e-08 2.4220993808780572e-08
31.25 5.642903886223174e-08 3.0980859084299726e-08
31.35 8.244601939683298e-08 2.7885114956730746e-08
31.45 1.131833034193079e-07 3.825532399916615e-08
31.55 1.2711609786480626e-07 4.294430039465267e-08
31.65 9.192804440865784e-08 3.105361983514143e-08
31.75 5.4806490536904405e-08 1.8521980532336804e-08
31.85 6.035175166260282e-08 2.0390504630741762e-08
31.95 7.447327058816582e-08 2.514674544476253e-08
32.05 7.692713833023986e-08 2.9993847945364146e-08
32.15 4.07919451526099e-08 2.4624937949644722e-08
32.25 1.4487847345767407e-08 1.1429570579287852e-08
32.35 1.1344110701147077e-08 8.253900907767528e-09
32.45 1.1279140126111744e-08 9.360310257231388e-09
32.55 1.2761319294274001e-08 1.1112556765687203e-08
32.65 1.4845576973249045e-08 1.5092576229129654e-08
32.75 1.98679774493371e-08 2.027716108617994e-08
32.85 1.6472779603694652e-08 1.6264002010779275e-08
32.95 1.3820685988217606e-08 1.1271997369360247e-08
33.05 9.529393070021745e-09 8.905154502966957e-09
33.15 1.774366269864004e-08 1.1326480708241938e-08
33.25 2.513428785529467e-08 2.0529799005762945e-08
33.35 5.568183539850405e-08 6.91238849389088e-08
33.45 1.589795868161873e-07 2.4599639890298113e-07
33.55 1.933463656876321e-07 2.9536468805741955e-07
33.65 1.0148637083201159e-07 1.5030770272935093e-07
33.75 2.2431186818584847e-08 1.8115600230010023e-08
33.85 2.89135060604547e-08 1.9177837064706265e-08
33.95 2.8095195412915532e-08 1.6004694316110438e-08
34.05 3.810260913446146e-08 1.6898415217556713e-08
34.15 6.268886364256803e-08 3.402715608961929e-08
34.25 6.025810707799164e-08 3.28489404399577e-08
34.35 4.4612145284140676e-08 1.8287625245764794e-08
34.45 6.411300413246186e-08 2.1903981824573014e-08
34.55 7.434728964015042e-08 2.7093919483491288e-08
34.65 1.0701554285454443e-07 4.331837850147924e-08
34.75 9.042248234761796e-08 6.209076439039815e-08
34.85 1.1582272487267552e-07 6.745719803355705e-08
34.95 8.714071156548188e-08 4.9354900150313794e-08
35.05 6.886329232082935e-08 2.971268117119513e-08
35.15 6.873965800549838e-08 3.421278891253113e-08
35.25 6.514450950680898e-08 4.239300886286353e-08
35.35 7.362494983147183e-08 4.895085683674533e-08
35.45 4.6524976078222395e-08 4.0608491693217385e-08
35.55 5.200754205010623e-08 3.818742065635289e-08
35.65 4.218625990694208e-08 3.3010849661786324e-08
35.75 3.800145758706467e-08 2.2109990653864514e-08
35.85 3.744481909930605e-08 3.0779362604269457e-08
35.95 7.515589918570811e-08 8.797479203305119e-08
36.05 1.469509673135899e-07 2.163429045374136e-07
36.15 1.1392854767079287e-07 1.794181293197245e-07
36.25 2.4344640481941218e-08 2.868184676848628e-08
36.35 4.939458321601578e-08 4.6731350290599814e-08
36.45 7.487890889437054e-08 6.55733695847726e-08
36.55 6.761347635570782e-08 5.338436695617252e-08
36.65 1.0645546435043562e-07 3.6098609178783663e-08
36.75 2.478629289063145e-07 8.388777416887697e-08
36.85 2.576792384133134e-07 8.724209662776473e-08
36.95 1.76944000620477e-07 5.988997670798237e-08
37.05 1.6658738815959044e-08 5.643045495762099e-09
37.15 6.868515503822606e-09 2.348278973589028e-09
37.25 1.0263272841058933e-08 3.4860255521259183e-09
37.35 1.695799078796271e-08 5.740965190426594e-09
37.45 1.7041724920663946e-08 5.7692184976422304e-09
37.55 2.1554493088751196e-08 7.297934132967289e-09
37.65 1.5820093381611526e-08 5.3580951654670495e-09
37.75 1.5964968546764463e-08 5.408123427667391e-09
37.85 1.020974380021314e-08 3.460572668675595e-09
37.95 9.216355941173883e-09 3.1255204600038916e-09
38.05 9.467598715552149e-09 3.211044815626246e-09
38.15 6.827576416291054e-09 2.3166667129222852e-09
38.25 7.926557124486449e-09 2.6934351313625635e-09
38.35 9.456044294103535e-09 3.211035252655838e-09
38.45 1.046642224035142e-08 3.6811547409980036e-09
38.55 9.51231656694234e-09 3.378506114554981e-09
38.65 8.267346040653189e-09 2.811308057831636e-09
38.75 7.738338738069322e-09 2.640385192648703e-09
