photon_energy_eV    total_yield    yield_error    energy_region
3.09999503 3.360302382333752e-05 1.7780560061000187e-05 0
3.19999724 4.6235253761775335e-06 9.341595955669703e-05 0
3.29999518 -4.0550864599852145e-05 2.59652223968171e-06 0
3.39999866 9.696322587990163e-06 5.90864109289596e-05 0
3.50000739 1.6281040482480702e-05 2.0035237351037777e-05 0
3.59999956 -1.9744462826996223e-05 6.115677585519585e-05 0
3.69999881 1.2886331909591315e-05 0.00012065743467585451 0
3.79999759 2.423194511207308e-05 2.098710774711512e-05 0
3.90000082 4.256274527785634e-06 5.555677587199232e-06 0
3.99999514 0.0009693035943647273 0.0034488038458609775 0
4.10000235 2.0857947492715807e-06 1.9529734719944642e-05 0
4.20000229 5.2704043857007024e-05 3.1660723329240964e-05 0
4.30000001 -0.0008382340163613372 0.0008167082150675992 0
4.40000093 0.00871097363830229 0.012204596219310582 0
4.09999548 4.933179768335227e-05 3.8324108480804297e-05 1
4.19999364 2.4169972744021012e-05 4.427777360442517e-05 1
4.29999397 -8.342411069592532e-05 8.13260567145562e-05 1
4.40000409 2.482028670274657e-05 2.271249624299946e-05 1
4.50000494 1.969845029210035e-05 2.2649593659517513e-05 1
4.59998741 8.719380283308811e-06 2.2173406256783184e-05 1
4.70000225 2.900270552227233e-06 8.810764071457394e-06 1
4.79999687 0.0002183333618190976 0.0004427255399966707 1
4.89999723 7.907802584347906e-06 9.964649520859684e-06 1
4.99997988 -2.6648568741359058e-05 3.9608731028345934e-05 1
5.09999913 -6.593924596856973e-06 2.6039672508257906e-05 1
5.2000042 0.0001385351832714478 0.004487245208357076 1
5.30001283 1.0041921523322837e-05 2.1675024061302357e-05 1
5.39998552 0.00020939614871610447 0.0025735124839916805 1
5.499998 5.124786617271423e-06 1.5474945483562558e-05 1
5.6000028 2.683343101021645e-05 3.443440022752222e-05 1
5.69999249 -8.186077746505213e-06 3.091039632833435e-06 1
5.80002561 2.7647316828394024e-05 3.23579921663403e-05 1
5.89998096 2.434638805748663e-05 1.9789987962522193e-05 1
6.00001586 1.2303019589246494e-05 2.3520120643930845e-05 1
6.0999877 1.3410893151664017e-05 2.2354228891636052e-05 1
6.19998788 1.911534467675868e-05 2.1228765927706866e-05 1
6.30001814 2.7710455162988992e-05 2.3103426399888958e-05 1
6.39999718 3.975271065329337e-05 2.5631737706911663e-05 1
6.50000912 1.926087331034678e-05 2.2190343053635045e-05 1
6.59999144 2.157783566332293e-05 2.3319265901998426e-05 1
6.69999671 6.38623439817204e-05 2.335032494926209e-05 1
6.79997958 4.06483109954384e-05 2.267904402521629e-05 1
6.90001432 7.312168963653036e-05 2.0550124336365756e-05 1
7.00000799 7.934173650574376e-05 2.0888739510381897e-05 1
7.10001255 9.744605034439905e-05 2.016975326371629e-05 1
7.19998346 9.363282644005032e-05 1.8861497557401155e-05 1
7.30000015 0.00013544197604154813 1.9364093065685603e-05 1
7.40001016 0.00014893086475801506 2.0170858422066054e-05 1
7.50000752 0.00018888997312273235 2.316453178095568e-05 1
7.60000132 0.00018410513461272364 2.762752073013481e-05 1
7.69998836 0.0002462046348921609 4.6085984435853456e-05 1
7.80000564 0.0004538005326267005 0.00012770720050260696 1
7.89999762 0.00035382998079832207 0.00030996685313481405 1
7.099959 9.192332857381184e-05 1.845563422921089e-05 2
7.20000464 0.0001262492577265963 1.874089417837941e-05 2
7.29999144 0.00015096638700279655 1.889418137543733e-05 2
7.39998779 0.0001474560062450756 1.808327507536596e-05 2
7.50002591 0.00017673194866228549 1.8721585015295073e-05 2
7.5999966 0.00023819224732936532 2.0685075509951454e-05 2
7.69999804 0.00031672146358025936 2.424327359925099e-05 2
7.80001559 0.0004084457303051813 2.883163140839817e-05 2
7.89998742 0.0005495898167924371 3.657316796152113e-05 2
8.00000757 0.0007544696312084253 4.830962781997691e-05 2
8.09999188 0.0010513984944234825 6.732235182843405e-05 2
8.20000087 0.0013958966636467547 8.938099759948185e-05 2
8.2999877 0.0018491088950385469 0.00011840073983473993 2
8.40000921 0.002410391878002203 0.00015434038655747187 2
8.49999644 0.003025822946946254 0.00019374720249772052 2
8.60002905 0.0038643477205833896 0.0002474389855153588 2
8.70001287 0.004738437056216656 0.0003034080116221083 2
8.79997531 0.005757730334212188 0.000368674626555964 2
8.90001507 0.007004012085533104 0.0004484755954414961 2
8.99999204 0.008278105247072978 0.0005300573634755303 2
9.0999801 0.009731256826653519 0.0006231044644742902 2
9.20001496 0.011331519458644312 0.0007255712689258735 2
9.29999739 0.013052819772106048 0.0008357882664961495 2
9.40001031 0.014984153588857909 0.0009594539702223248 2
9.49999223 0.01708407795597202 0.0010939147363407669 2
9.59999227 0.019514099189859673 0.001249512014942592 2
9.70001293 0.02221427589106506 0.0014224076837509887 2
9.80002039 0.025168276809962094 0.0016115560325628737 2
9.89994073 0.028329032619881914 0.001813943153913917 2
10.000048 0.03180344552183323 0.0020364141285472556 2
10.0999912 0.03548156306508485 0.0022719285644404695 2
10.1999966 0.03925792636764463 0.002513733798360194 2
10.2999993 0.04305977066934486 0.0027571706123118217 2
10.3999846 0.04671568921671116 0.0029912636189190368 2
10.4999928 0.05026036592826972 0.0032182336725754797 2
10.6000055 0.05374162443384706 0.0034411429797137957 2
10.7000236 0.05737434033233885 0.0036737502918871997 2
10.8000121 0.06109520564231518 0.003912001920392525 2
10.8999934 0.064945246558231 0.004158524823430613 2
10.9999941 0.06922196262359626 0.0044323682663782 2
11.1000139 0.07382375053186258 0.004727026463287654 2
11.1999933 0.07864667286833507 0.0050358441723668875 2
