photon_energy_eV    total_yield    yield_error    energy_region
3.09999975 4.684475544148785e-05 5.216447312951199e-05 0
3.19999808 3.687308844758016e-05 0.0002246932727807679 0
3.29999963 0.00042493589540046236 0.0007170534300564487 0
3.39999961 -5.308286560528793e-06 6.061766782494639e-05 0
3.50000339 3.1027884352359476e-05 2.580287917181285e-05 0
3.5999985 5.257815729769373e-06 2.1504736927905504e-05 0
3.69999657 0.00014387632169220356 8.955964038319683e-05 0
3.80000112 6.256596835858044e-06 2.4506739201582566e-06 0
3.90000082 -0.00014397313281135223 0.00032539989732585146 0
3.99999384 -9.14312199607492e-05 0.00013700284109341833 0
4.10000784 1.0459475784786771e-05 1.931058954317693e-05 0
4.20000661 4.63310368361661e-05 0.0005623229098754114 0
4.29999094 0.0009656790377284248 0.0007706426768200936 0
4.39999777 0.0208181540941455 0.15622686759987717 0
4.09999685 3.721024460265447e-05 4.991890976990096e-05 1
4.19998787 -0.00032257140173067164 2.0654647607243523e-05 1
4.30000152 4.522102220241073e-05 2.6788101717794237e-05 1
4.40000093 2.386289096458661e-05 0.00016896768227898194 1
4.50000825 2.9172634727968005e-05 2.6493427266504748e-05 1
4.59999087 0.00019145913562091933 0.000812814218121848 1
4.69999503 -9.231023832702608e-06 3.207333063564892e-05 1
4.8000044 5.263574634395671e-06 4.58752805862057e-05 1
4.90000116 4.5694226299443756e-05 0.00015943990568157112 1
5.00000031 -3.04026523892532e-05 9.236545633234951e-05 1
5.09999063 9.057355364120786e-06 2.0529763294921693e-05 1
5.20001303 3.965787065947228e-05 0.00014109287996354671 1
5.30001054 -1.8775096234869305e-05 2.9504967413859552e-05 1
5.39997838 5.013686505266473e-06 1.07209760584396e-05 1
5.50000789 4.107945392365115e-05 3.6720526635698376e-05 1
5.59999255 3.805290549792252e-05 2.4426626631491057e-05 1
5.70000842 8.377194415975486e-05 3.540009029673996e-05 1
5.80000912 0.00011404308617270675 3.8874683429095354e-05 1
5.89998949 7.569153743867048e-05 2.665701698684283e-05 1
6.00000116 9.839816750449564e-05 2.6933722824466048e-05 1
6.09999378 0.0001984886945504609 4.1210887800014955e-05 1
6.20000987 0.0001406680139917203 2.539617679389357e-05 1
6.29998895 0.00017209025162244693 2.9661958073762987e-05 1
6.40001391 0.0002354863316360902 3.3858235586443156e-05 1
6.49999531 0.00031039974927721573 3.814788632784449e-05 1
6.59999144 0.00033678632044312044 3.712334305664736e-05 1
6.70001505 0.0003588741898791405 3.3030939348619085e-05 1
6.79999469 0.00046142279590529237 3.9051265948535095e-05 1
6.89997542 0.0004761429700413201 3.6457501149719976e-05 1
7.00003201 0.0006042750760986569 4.2209813144804496e-05 1
7.10000431 0.0006346417043860617 4.2768776298541225e-05 1
7.20000041 0.0007132035309797729 4.6682480355459725e-05 1
7.29999579 0.0007875389335649251 5.083927467379768e-05 1
7.40000569 0.0008734967768896326 5.59310838342148e-05 1
7.49997994 0.0010439654136930837 6.684640243459795e-05 1
7.60002964 0.001033896933065398 6.750323964550226e-05 1
7.69999804 0.0010985480400588893 7.883202162804074e-05 1
7.79999073 0.001104263640735796 0.00013764303627360544 1
7.90001292 0.00010000077363182061 0.0002251459074925979 1
7.099959 0.0006454695130862148 4.303505231924514e-05 2
7.19999617 0.0007214153495789847 4.692297099561543e-05 2
7.29998709 0.0008034405112560223 5.144529410958876e-05 2
7.40002359 0.0009032472781443583 5.78360453908139e-05 2
7.49999373 0.0010091696423610893 6.46183859668373e-05 2
7.5999966 0.0011018775853088648 7.055459073175174e-05 2
7.69999804 0.0012621968012558296 8.082002930531415e-05 2
7.80000564 0.0014228847271156642 9.110907683267336e-05 2
7.90001292 0.0016293568393296735 0.00010432974269338811 2
8.00000757 0.001813268669775294 0.00011610584568415806 2
8.09999724 0.002080802153982691 0.00013323634705469047 2
8.19998439 0.002378225760640151 0.00015228075010042123 2
8.30001021 0.002693953178871164 0.00017249716894139223 2
8.39999768 0.00306155552643078 0.00019603520395535413 2
8.50002006 0.003468029482781231 0.0002220622363732821 2
8.59999279 0.003916873129694814 0.00025080225271698325 2
8.70001287 0.004455000543077024 0.00028525921955152995 2
8.79998164 0.005053133693913753 0.0003235584283048774 2
8.90001507 0.005813378365630393 0.0003722378391433574 2
8.99998543 0.006686566939127833 0.00042814918833146605 2
9.09998687 0.007715116238999401 0.0004940084778454882 2
9.20000805 0.008961163277263403 0.0005737944177623847 2
9.29999739 0.010350694591473909 0.000662767834129317 2
9.40001031 0.012003566186184086 0.000768603255823847 2
9.50000698 0.013908561556824175 0.0008905824761232762 2
9.59998474 0.016144434962386146 0.0010337482280731302 2
9.70001293 0.018680950195574753 0.0011961644497556062 2
9.80001255 0.021506517044180162 0.0013770890054835266 2
9.9000048 0.024650584736123173 0.001578407565907625 2
9.9999745 0.027960799714151146 0.0017903647434768667 2
10.1000079 0.031445440444907005 0.002013490618695352 2
10.1999881 0.0349454798020589 0.002237602487092834 2
10.3000253 0.03842627695861613 0.0024604822534802237 2
10.3999846 0.04160474470252073 0.002664003491969164 2
10.5000108 0.04468723844306164 0.0028613793957870896 2
10.5999963 0.047582566941528605 0.003046770876625728 2
10.7000236 0.05052314196125351 0.00323505954843363 2
10.8000121 0.05344727942926557 0.0034222957033837645 2
10.9000031 0.056443412667100526 0.0036141418369213564 2
10.9999644 0.059853006989264865 0.0038324623973619958 2
11.1000441 0.06355709946229252 0.004069640040279356 2
11.2000138 0.06742927426535154 0.0043175802036097945 2
11.2999431 0.07147193886574447 0.004576437040475672 2
11.4000254 0.07566928417238206 0.004845198275133734 2
11.5000049 0.07994634712963057 0.0051190639299995766 2
11.5999941 0.08392575908465477 0.005373870621399031 2
11.7000704 0.08764914697853922 0.0056122837740859854 2
11.7999654 0.0882905464170525 0.005653353376992189 2
11.8999722 0.029939381446953843 0.002131297706562785 2
11.0999233 0.012460077958881126 0.002101747388007189 3
11.2000446 0.0163803766906231 0.002397225464231786 3
11.3000266 0.019629547124886324 0.0024467599961918015 3
11.3999723 0.02543260166157218 0.002504728595273162 3
11.5000265 0.0364778374287964 0.0027062779886619483 3
11.5999831 0.049960427567106704 0.0033300500293600753 3
11.7000256 0.05891311297861595 0.0038283271251222262 3
11.7999767 0.06652803405162518 0.0042883690633889445 3
11.8999954 0.06836392832597472 0.004377427264301709 3
12.0000059 0.07730298678898775 0.004949806283345189 3
12.0999648 0.08319923355071543 0.005327350288844223 3
12.2000095 0.08889207479354572 0.005691869986262461 3
12.3000409 0.09470719786554621 0.0060642195411222755 3
12.3999796 0.1027302545835843 0.006577945830417957 3
12.4999978 0.10657371008814771 0.006824047061385604 3
12.6000208 0.10838840774623265 0.006940244406966566 3
12.6999439 0.10860556716115058 0.006954149394097044 3
12.7999516 0.11076230692672925 0.007092248120765164 3
12.9000509 0.11224906652914932 0.007187447185220083 3
12.9999879 0.1155991658030718 0.007401958203806676 3
13.100041 0.11887911051214124 0.007611977138447498 3
13.1999516 0.12117980417811293 0.007759293412202412 3
13.3000247 0.12627309803992212 0.008085423345951597 3
13.3999979 0.12969011097152064 0.008304218929170996 3
13.4999663 0.1315344351453539 0.008422313297362547 3
13.6000015 0.1326890055740544 0.008496241876320903 3
13.7000272 0.13355063804926995 0.00855141327417902 3
13.7999634 0.13336871294883618 0.008539764383979171 3
13.9000261 0.13398547492950133 0.008579256419850413 3
13.9999648 0.13570036579565303 0.008689063012546495 3
14.1000025 0.13605150708447114 0.00871154702551844 3
14.1999971 0.1357347981528922 0.008691267759158395 3
14.2999998 0.13600918240074406 0.008708836923436295 3
14.3999805 0.135774222916957 0.00869379217578178 3
14.4999432 0.1360289422739788 0.008710102172668675 3
14.6000491 0.13593086007799177 0.008703821847804822 3
14.7000106 0.13507070545134967 0.008648745078426903 3
14.79999 0.13419649123946814 0.008592768056338834 3
14.8999416 0.13309873835669528 0.008522477575434888 3
15.0000758 0.13176505679039466 0.008437080287812919 3
15.0999625 0.13000820388836842 0.008324586813827235 3
15.1999801 0.1279853358091489 0.008195060057555437 3
15.2999924 0.12682914925194028 0.00812102799588087 3
15.400031 0.12539826334481655 0.008029406593551822 3
15.4999729 0.12366438507001395 0.007918384213490354 3
15.600067 0.12192638662244408 0.007807098013647799 3
15.6999717 0.12000474536908504 0.0076840529367974576 3
15.7999606 0.11861684366791059 0.007595183866577816 3
15.9000124 0.11660725317146738 0.0074665072904269115 3
16.0001052 0.1148555717150764 0.007354344950530125 3
16.0999833 0.11309025527768447 0.007241309545860096 3
16.1999581 0.11105434710945006 0.007110947816488003 3
16.2999882 0.1091464650144193 0.006988783755639447 3
16.4000304 0.10675918492126799 0.006835923245379466 3
16.4998844 0.1029654057681349 0.006593002852910526 3
16.6001286 0.09688728475717379 0.006203813213277177 3
16.699889 0.08490193371839813 0.005436376295971923 3
16.8000024 0.07281692388135856 0.004713500534951294 3
16.9000396 0.06825964575948952 0.004732135959807918 3
17.0000473 0.0713436617255149 0.00514226546758398 3
17.1000031 0.06602611046362054 0.00484132257473975 3
17.1999567 0.06775138981457413 0.005048377185631932 3
