photon_energy_eV    total_yield    yield_error
5.099997 7.102093215957892e-05 0.00016548335625751152
5.20001303 2.4275575825417768e-05 7.99716150244756e-05
5.30000595 2.542731312024617e-05 2.8697492269586744e-05
5.39998791 6.015327469470738e-06 1.173394637497072e-05
5.50001036 2.6872671091612988e-05 1.9890973009812808e-05
5.60000024 1.4224452783674488e-05 1.093147746660682e-05
5.69999515 4.538049360030555e-05 3.0017229289958352e-05
5.80000087 5.547350119583356e-05 2.8820695611679164e-05
5.90000371 4.3870139337877e-05 2.0520529498428366e-05
6.00000704 3.831553161849952e-05 2.0661732839253996e-05
6.1000029 6.762825117339839e-05 2.3768531299150596e-05
6.20000673 5.776463941770263e-05 1.9070612589932274e-05
6.29999544 0.00010995390976798318 2.8463431895836225e-05
6.40000387 8.86487774298893e-05 2.4798705716231793e-05
6.50000566 7.671026425167114e-05 2.4958283554625046e-05
6.59999144 9.906313659144059e-05 2.521027124717101e-05
6.70001138 0.00012617769339618638 2.3316531577062555e-05
6.79998713 0.00011959093263965814 2.3264595252054966e-05
6.89999487 0.00016197634225437665 2.2592975578000728e-05
6.99999598 0.00017411833077229943 2.2487417086332845e-05
7.1000249 0.00023149278660282378 2.3799313414499113e-05
7.19998346 0.0002330412496440192 2.258968418126467e-05
7.30000015 0.0002666738817607158 2.375191122376737e-05
7.40001016 0.0002875424750278155 2.5031342499694426e-05
7.49999833 0.0003630263231599962 2.9843852856030032e-05
7.60001076 0.00043361143584755985 3.0235200434600338e-05
7.70001258 0.0005075342150387222 3.4154314966814395e-05
7.80000067 0.0006174515416315386 4.022863284532343e-05
7.89999762 0.0007473919230379737 4.785643337265996e-05
7.99999711 0.0008971058749742275 5.74428037159088e-05
8.09996508 0.001147866524638927 7.349931965253323e-05
8.20001186 0.0014067632053906508 9.007679576765602e-05
8.30001021 0.001774386864839319 0.00011361619540835129
8.39999191 0.0021880325077472413 0.00014010243982647339
8.50002006 0.0026718899492828114 0.00017108443294006
8.59999279 0.003290339496149924 0.00021068452577180166
8.70001905 0.003956025486595342 0.0002533092267712072
8.79996898 0.004780917119230523 0.0003061280628330259
8.90001507 0.005731450633805272 0.000366991904689684
9.00000528 0.006751779865976331 0.0004323248530564416
9.09994627 0.007924617679159588 0.0005074231153381561
9.20005646 0.00919347698748008 0.0005886697532481483
9.29999032 0.010672107631058574 0.0006833483103692322
9.39999587 0.012245196430142297 0.0007840751405397034
9.50000698 0.014002623860076932 0.0008966054022611411
9.59998474 0.016100920240811785 0.0010309619263891509
9.70000524 0.01834015148182941 0.0011743426847149188
9.80002824 0.021081995546595907 0.0013499063665785964
9.89999679 0.02358092199907617 0.0015099157319329807
9.99998267 0.026481190391237065 0.0016956235203020394
10.0999662 0.029609304649639158 0.0018959205625563764
10.2000051 0.03287259251647491 0.0021048729388949416
10.3000253 0.0361109749602336 0.002312230590052025
10.3999669 0.039247546478791126 0.002513069161181197
10.5000198 0.04236473317749748 0.0027126664982120964
10.6000055 0.04542529304997733 0.002908637949207998
10.7000236 0.04863027071719645 0.0031138566510220153
10.8000121 0.0518100468802149 0.0033174616692123625
10.8999837 0.055208007675210335 0.0035350373204551815
11.0000138 0.05883237473670369 0.0037671100462231947
11.0999938 0.0626891564448139 0.004014064570560077
11.2000138 0.06671114012688516 0.004271597182532375
11.299964 0.07084716784894213 0.004536432176070346
11.4000041 0.07546065099129366 0.004831839233348136
11.5000049 0.07979986784907467 0.005109684679683484
11.6000381 0.08416440712729488 0.005389151552059479
11.6999921 0.08856872387407995 0.005671165425166187
11.8000109 0.09267531335354237 0.005934115451457514
12.0000177 0.08008307173113119 0.0051278185760967945
12.0999887 0.08630303017565945 0.005526090242816636
12.1999973 0.09285273749905794 0.005945476139922078
12.3000285 0.10014140156081423 0.006412178355045454
12.3999921 0.10803502290943054 0.006917616736829878
12.499985 0.11468593225170992 0.007343482724935055
12.6000337 0.11778298051622044 0.007541790573004922
12.6999834 0.11973079082347717 0.007666511286888091
12.7999382 0.12340016725745123 0.007901466018694535
12.9000781 0.12634417833082665 0.008089974705286542
12.9999879 0.1320424006109421 0.008454838957207413
13.0999007 0.13254842385951657 0.008487240254483932
13.200094 0.14248191617799671 0.009123294108752063
13.2999958 0.15053178406754647 0.009638737150669147
13.3999832 0.15751944174207355 0.010086165552855627
13.4999812 0.1628940974733777 0.010430311436665339
13.6000318 0.16730178171719923 0.010712540934790984
13.7000119 0.17153446710052142 0.010983565038464763
13.7999945 0.17377876151581448 0.011127269998129742
13.8999945 0.17678577569162238 0.011319812851643943
14.0000128 0.18077494299938904 0.011575244190399299
14.0999863 0.18320423154627377 0.011730794554142051
14.1999807 0.18494371092197837 0.01184217557965294
14.3000165 0.1866782467037413 0.011953240060701947
14.4000144 0.18765324269726025 0.012015670265476957
14.4999775 0.19022135632417728 0.012180109771566897
14.599962 0.19261209603834423 0.012333191805658655
14.7000283 0.19427425499775366 0.012439621908853261
14.8000616 0.19684134103521722 0.012603995617113844
14.8999416 0.1995503182222888 0.012777454791965754
15.000039 0.20213884644332786 0.012943201469879893
15.1000184 0.20377965625055433 0.013048264560336587
15.1999801 0.20516015510280938 0.013136659616942815
15.2999924 0.20683736931886015 0.01324405372692443
15.4000117 0.2078323972488788 0.013307766601480682
15.5000122 0.20700007597503697 0.013254472036262007
15.6000273 0.20620057183488796 0.013203278792884843
15.6999314 0.20539183439211536 0.013151494329669475
15.8000218 0.20471903626286192 0.013108414229586253
15.9000124 0.2030938263709198 0.013004350021086152
16.0000424 0.2014541152779498 0.012899357282668316
16.1000045 0.20085337977698298 0.012860891442203044
16.1999581 0.1989415763051899 0.012738476290728582
16.3000099 0.1969104446466819 0.012608420407208483
16.4000084 0.19437900718872547 0.01244632932178262
16.6001286 0.17460011508654022 0.011179862287691904
16.7000257 0.17692129128121908 0.011328490083206908
16.7999793 0.17748683918502733 0.011364702818109949
16.8999929 0.1771332236806579 0.011342060378042347
17.0000473 0.176781856733306 0.01131956191587413
17.100027 0.17654609446323075 0.01130446576481622
17.1998841 0.1747464601886496 0.011189232946395367
17.3000095 0.17328753309591535 0.011095816032114026
17.3999714 0.17075536534730346 0.0109336781852702
17.5000191 0.16709949895092183 0.010699588517955324
17.6000342 0.16444285689542984 0.01052948042659828
17.7000471 0.1610585697447878 0.010312780315791198
17.8000121 0.1576990829113491 0.010097668200105919
17.8999606 0.15385791083298214 0.009851713179754503
18.0000583 0.15039694387102995 0.009630103165364196
18.0999432 0.1466493070789738 0.0093901373256011
18.2000226 0.14281384465032806 0.009144547901214854
18.3000107 0.13904462692127809 0.008903200207244437
18.3999968 0.13532640154820838 0.008665117617179034
18.4999629 0.1318975417323283 0.008445563463240819
18.6001164 0.1285755595529105 0.00823285281714732
18.6999601 0.12500881051506027 0.008004469445016328
18.800015 0.12182730426910525 0.007800753647466143
18.9000079 0.11898791115081493 0.007618943778512895
18.9999787 0.11605184865812514 0.007430944049417299
19.1000289 0.11335820436204444 0.0072584666586247275
19.1998732 0.11074274702845079 0.007090995676177678
19.3000972 0.10841831604719508 0.006942159472634496
19.3999583 0.10619563575379998 0.006799838492047471
19.4998949 0.10404218188717769 0.006661950165571844
19.6001131 0.10212488258208226 0.006539183109063148
19.6999713 0.1003542685580522 0.0064258084933390925
19.7999553 0.09865246674152522 0.006316840008751981
19.8998267 0.0970797657545284 0.006216138010671242
20.0001223 0.09567854928254108 0.0061264163791345215
20.1001465 0.0942579594041192 0.006035454244314772
20.1999092 0.09291211409566216 0.005949278097170606
20.2999599 0.09165380608773624 0.005868707072133543
20.4000205 0.09040824387987065 0.005788952176509397
20.5001108 0.08920431556016639 0.0057118631504690974
20.6000091 0.08816622711850795 0.0056453930578552755
20.6999404 0.08713552228394371 0.005579395746776901
20.8000682 0.08611437419402536 0.005514010365931256
20.8999558 0.08510023261686821 0.005449073620802423
20.9999425 0.08415721845782032 0.005388691252622003
21.1000537 0.08322023490860589 0.005328695031881496
21.2000956 0.08233191798766273 0.005271814995811369
21.2998673 0.08147872228473255 0.005217183814964309
21.4000212 0.08058648728944559 0.005160052899726234
21.4999504 0.07976185030971618 0.005107250369406345
21.600131 0.0789449865418929 0.005054945567502045
21.7000183 0.07812927251531362 0.005002714384958008
21.8000181 0.07732653631419918 0.004951314188701802
21.9000033 0.0765719773256916 0.004902998839222945
22.0000792 0.07584993311021443 0.004856765451056743
22.0999566 0.07511191135194638 0.004809509000975555
22.2000602 0.07441008076000752 0.004764569916237399
22.2998964 0.07374490131260518 0.004721977649818358
22.4000606 0.07312526720990449 0.004682301708404931
22.5000531 0.07248092853064744 0.004641043902262268
22.5999406 0.07187068901238723 0.004601969507762154
22.7000032 0.0712741807277927 0.004563774341212987
22.8000637 0.07070855116380803 0.004527556377507399
22.8999817 0.07015265887578838 0.004491961903679192
23.0000445 0.06964013585350497 0.00445914441781694
23.0999391 0.06915232868558478 0.0044279095188159085
23.1999136 0.06867837344207556 0.004397561575744185
23.300003 0.06822161232754563 0.004368314594112551
23.4001544 0.06792010427214705 0.004349008658739512
23.499952 0.06764516456364483 0.0043314039276260785
23.5000422 0.061253404420600795 0.003922131584708254
23.5999673 0.06097119474924192 0.0039040613488410935
23.7000573 0.06045858818437822 0.003871238513643635
23.7998891 0.06013264756324291 0.0038503681307320804
23.900052 0.05976328696205342 0.0038267175125537884
23.9999319 0.059382642676033943 0.003802344386017271
24.1000332 0.05905935094995254 0.003781643615146939
24.199968 0.058686697508511326 0.003757782152316388
24.3001078 0.05827455493335278 0.003731392151193632
24.3999122 0.0579640978351165 0.003711513197489634
24.5000002 0.057622055503066885 0.0036896118020238837
24.600171 0.057353702195590814 0.0036724288063509315
24.6999677 0.0567620370091781 0.0036345437493952868
24.8000247 0.05667470822431961 0.0036289519788057566
24.8998823 0.05634631772343444 0.0036079247270501516
24.9999344 0.055998386399043136 0.0035856462520884305
25.1001246 0.05568008590151341 0.0035652650757832358
25.1998238 0.05546722902877139 0.00355163558577365
25.3000043 0.05506839149683649 0.0035260975230983474
25.3999829 0.05483980641374546 0.0035114609362397894
25.5002234 0.05471616598126363 0.003503544085740279
25.60008 0.05448841823830662 0.003488961114810792
25.6999662 0.05421999540579052 0.00347177366736315
25.7998735 0.05390522444726275 0.003451618491825258
25.9000672 0.05385449298871472 0.0034483700935069657
25.9999373 0.053703086036420225 0.0034386753182474392
26.0999127 0.05358995022621682 0.0034314310917630893
26.200099 0.053505713988276485 0.00342603734079483
26.300153 0.05330565926972719 0.003413227588623272
26.399949 0.05316095381026961 0.003403961918275855
26.4999314 0.052985773696436804 0.0033927449179478645
26.6002114 0.052852703712480575 0.003384224281552415
26.699797 0.05282344539807609 0.003382350835331316
26.8001309 0.052634066185317095 0.003370224649058486
26.9000393 0.052408976712786715 0.0033558118904869834
27.00004 0.052392417059532466 0.0033547515553158263
27.1000068 0.052251812368734565 0.003345748462280378
27.1998703 0.05212058295876119 0.0033373456801237327
27.3002289 0.05191868967794342 0.0033244182025259418
27.3997971 0.05186316141559333 0.0033208626589007776
27.4999706 0.051728952649390564 0.003312269104863289
27.6000079 0.05163678943099264 0.0033063677794880533
27.7000859 0.051451575136170956 0.003294508278085136
27.7998819 0.05125806238566288 0.0032821174162548303
27.9000179 0.05115116091678288 0.003275272382390803
27.9999811 0.05120439899089127 0.00327868128241758
28.1001469 0.05092316341675457 0.0032606734192057495
28.2001222 0.05098916832042948 0.0032648997951908523
28.2998298 0.05080775463919373 0.0032532836517976263
28.3999814 0.05058441274058042 0.0032389827925551748
28.5000478 0.05056228400169469 0.0032375658619121445
28.6000198 0.05051863792459521 0.0032347711493706985
28.7000899 0.05025271972683801 0.003217744076798363
28.799575 0.05036312877804088 0.003224813705516254
28.9004347 0.05007087776401564 0.0032061005100030605
28.9998728 0.050172233783290617 0.0032125904618393536
29.0999976 0.049961451605628864 0.003199093817133305
29.2000498 0.05003652297707958 0.0032039007303140393
29.3000908 0.049918525990229036 0.0031963452366495716
29.3999014 0.0497732424332712 0.0031870425500009998
29.4999678 0.049849294036795895 0.0031919122286592455
29.5998585 0.04971897218120667 0.00318356755833734
29.7001397 0.04973181465477364 0.003184389877874992
29.7997965 0.049675010553125336 0.003180752640674494
29.9004165 0.04939694987118056 0.0031629480697541175
