photon_energy_eV    total_yield    yield_error
5.0999885 5.9582916522968535e-05 7.042543755244777e-05
5.20000861 3.732377167773652e-05 5.482771523262911e-05
5.30000824 7.207332381640376e-05 7.751973119298526e-05
5.39998076 5.649560186232191e-06 1.1558711647589621e-05
5.50000047 3.048941647147245e-05 2.1175045725205286e-05
5.60000536 1.033572347413907e-05 1.1877123384781704e-05
5.70000576 2.53319591716332e-05 2.1184578488876995e-05
5.80000637 3.3319143082500435e-05 2.2562212685516773e-05
5.89998665 2.497450298323981e-05 1.489146632535742e-05
6.00001292 2.450482905747202e-05 1.6639267584766263e-05
6.09999682 3.237366143893884e-05 2.0795636528664785e-05
6.20000673 2.7771709400352425e-05 1.6160406651249964e-05
6.29998247 2.619378427558607e-05 2.0856789398605827e-05
6.40002395 2.6956130071459673e-05 2.2394916504340813e-05
6.49999531 4.6742915610029385e-05 2.2365885352499233e-05
6.59999144 4.37953656741199e-05 2.2650779464211303e-05
6.70001138 2.613973100231457e-05 2.0957958735855695e-05
6.79998713 3.524322085360442e-05 2.2476652125461737e-05
6.89999876 2.1041319209374774e-05 2.060028081307847e-05
6.99999998 3.4028908295318976e-05 2.0919705803081115e-05
7.10001667 3.48747264175182e-05 2.004482438482032e-05
7.1999877 2.18255987028451e-05 1.773832433407193e-05
7.29999579 3.0004211079540422e-05 1.743366059674795e-05
7.40002359 2.6144408623418548e-05 1.866529092768694e-05
7.49999373 2.294118955402279e-05 2.0200989393750755e-05
7.50000292 1.023146697204182e-05 1.5496174830981376e-05
7.60000132 1.4534534230974722e-05 1.5065231271103887e-05
7.6999932 9.209760426609115e-06 1.4803387240511122e-05
7.80000564 1.4139112816340869e-05 1.4949889533438721e-05
7.89999252 1.835010061026242e-05 1.4913681893420645e-05
8.00000757 1.4476902411813359e-05 1.5005495150878579e-05
8.09999724 7.138591761503308e-06 1.520243762638857e-05
8.19998988 1.2901116898404631e-05 1.516565672792997e-05
8.29999895 2.5161471871900842e-05 1.5645819983409664e-05
8.39998615 1.344274584261788e-05 1.545668448474679e-05
8.50003777 2.1326901991349713e-05 1.5648239059719526e-05
8.59997466 2.019974410397284e-05 1.569245842801277e-05
8.70001287 1.334194248292668e-05 1.5683860658984743e-05
8.80000695 1.5277360337749486e-05 1.5835180064435466e-05
8.90002154 2.897469022112867e-05 1.6131512446298078e-05
