photon_energy_eV    total_yield    yield_error
4.0999996 5.068403675682861e-06 0.000564126169683601
4.19998932 -1.8847341108837652e-05 0.0006283672631648885
4.30000001 3.975279996972391e-05 0.0004783881657356894
4.39999777 -3.43253916848517e-05 0.0003550830754832569
4.50000329 -1.8013453377512151e-06 0.00026219459790470024
4.60000124 -1.7705008367195364e-06 0.000428296647729492
4.70000045 -0.00011900280055652026 0.002304052123176868
4.79999123 2.613550747547475e-05 0.00027047426874519107
4.90001097 1.7030652508782512e-06 0.00020271719852805895
4.99999214 -3.4081308551029282e-09 0.00013638674549981634
5.10000338 -5.8029966460295395e-06 0.00010566894361372299
5.20000199 1.1462074654804158e-05 0.00010040521445366896
5.29998988 -2.719202103150619e-06 9.066149654310059e-05
5.40000697 -6.992381426805236e-07 9.694981767585362e-05
5.49999306 1.1378408090415317e-05 0.00010671135022492316
5.6000028 -1.0751267572539012e-06 9.454761777741083e-05
5.70000842 1.5054613775694464e-05 0.0001175258981315656
5.80000362 2.2237959610990775e-05 0.00012138217022907977
5.89999518 1.4268892114884796e-05 0.00012891722044940551
5.99998939 2.3563567881533997e-05 0.00013709006509543214
6.10000898 4.166297566726993e-06 0.00013592058768916064
6.20000673 4.534092564742187e-05 0.00016196257938605853
6.29999868 5.8539126405724344e-05 0.00017213655049258425
6.39998379 3.626212617902662e-05 0.0001587117051170438
6.50000221 1.1447781228361005e-05 0.00015255055662857426
6.60001991 3.153537111719622e-05 0.00014635785243146107
6.6999857 1.553016289819846e-05 0.0001290247863149849
6.80000225 1.9793252397396984e-05 0.00012122830519913587
6.90000265 -1.4049095996985762e-05 9.497031089277998e-05
7.00000399 1.614815846922003e-05 9.303155449734927e-05
7.09999195 1.5448124485131976e-06 8.549136826509652e-05
7.19999617 1.2925105533366128e-05 7.890700483301656e-05
7.3000045 1.0879639889377896e-05 7.378583498433233e-05
7.40000569 3.465847232110004e-05 8.0665580219559e-05
7.59997773 -5.055149916278261e-07 4.996633730543054e-05
7.69998836 7.929121503397145e-06 4.881644911371035e-05
7.8000305 9.574808684904014e-06 4.6988093853026714e-05
7.89999252 2.0313612350693322e-05 4.7136641307066754e-05
7.99999711 2.6292140608885475e-05 4.745838221515643e-05
8.1000026 1.612833355700592e-05 4.4815956872189804e-05
8.19998988 -3.944487539849689e-06 4.040521918443333e-05
8.30000458 1.487231607753173e-05 4.2000886233599484e-05
8.39997462 1.4526122352098689e-05 4.0031599646416326e-05
8.50001415 3.139766797053219e-05 4.0690356026326643e-05
8.60001092 7.480088980438793e-06 3.591439294588991e-05
8.70001287 -4.666933895332254e-06 3.2988473524349726e-05
8.79998796 1.7686919271479464e-05 3.458879333375716e-05
8.9000086 1.7374291210752402e-06 3.1428679654027636e-05
9.00000528 4.596690807146824e-05 3.583532860068345e-05
9.09998687 2.970503307190891e-05 3.258466507915491e-05
9.20000113 3.65377094412703e-05 3.2174324003729405e-05
9.29998325 3.241799447967939e-05 3.0495945481614467e-05
9.39997421 2.5782312305052748e-05 2.8286644551368367e-05
9.50003647 1.1486710727662243e-05 2.54631523233074e-05
9.60001486 3.7243549320604834e-05 2.7653679847626868e-05
9.69998217 4.225439341054023e-05 2.7599311305407838e-05
9.8000047 5.566291092532749e-05 2.878300413456625e-05
9.89999679 5.882701920879808e-05 2.8862584087311767e-05
9.99999901 6.341731980289851e-05 2.9317990905428593e-05
10.0999745 8.166164160011004e-05 3.223810186028126e-05
10.1999456 8.013692715118893e-05 3.294817044872074e-05
10.3000513 0.00010230623411007772 3.682847181064135e-05
10.4000022 8.552812333085577e-05 3.500348054597099e-05
10.5000108 0.00011046111750059889 3.772577017620699e-05
10.599978 0.00011277616885771143 3.710691854169472e-05
10.7000236 0.00011151302020815394 3.623502861352085e-05
10.8000311 6.230454016211635e-05 2.945942892437073e-05
10.8999934 0.00010119409851833515 3.441079936115931e-05
11.0000138 0.00011987265562939143 3.7212405712239577e-05
11.0999837 0.0001397036786506377 4.019985600816407e-05
11.2000138 0.00014550155958692031 4.1766728896560506e-05
11.2999848 0.00012100734174561906 3.955836366470062e-05
11.3999723 0.000142916363072692 4.372102640723913e-05
11.4999941 0.00016656707722758566 4.8595524245278554e-05
11.6000381 0.00021282912066590334 5.869049949381046e-05
11.6999697 0.00025911792085833534 8.053418577816515e-05
11.8000223 0.00019830973111639814 0.0018952251088588585
11.8999954 0.0002954422425598275 0.00014807315391813348
12.0000059 0.0011413339854585815 0.000369522568108329
12.0999648 0.00034372722405554495 0.00037007599486426024
12.2000217 0.00013405037635684186 0.0005327858510482831
12.3000162 0.000527653399843847 0.001333406501693432
12.3999921 0.00026158421084790005 0.0024796668308585674
12.5000105 0.0007577036340390791 0.0034326801799145585
12.5999818 0.00041082943510725213 0.001660037220483642
12.7000098 0.0005214787315624616 0.001256022614993259
12.8000185 0.00046271161936527715 0.0010318413558542995
12.8999965 0.00039854762952440176 0.0010469193099811101
12.9999603 0.00029327884545390177 0.0016823771666410186
13.1000129 0.0003761773670207302 0.0027875874511149655
13.2000228 0.0006615319130438743 0.0024793893561565494
13.2999813 0.00039425830135959524 0.0006272340284142209
13.4000125 0.0003944350172869198 0.00045184860365287554
13.4999663 0.0003613639307962665 0.00035774898409504457
13.6000469 0.00043866080654306525 0.0003534371900277471
13.6999966 0.00039425094317450206 0.00032416895332423667
13.7999945 0.0004445476712118683 0.0003228391755736684
13.8999945 0.000500136410516753 0.00038711798121451527
14.0000289 0.0003100293078946818 0.0003304317887603297
14.1000025 0.0004786644636777828 0.0003634782827113594
14.1999148 0.00042733383354258474 0.0003183304506447884
14.3000833 0.0004686301180566319 0.00029955417109023996
14.3999975 0.0004573795780937077 0.0002497131173924157
14.4999947 0.0004466928922953555 0.0002214376760372915
14.5999446 0.00040724162156220673 0.0001961661403211599
14.699993 0.00044057765314381154 0.00018432811726069593
14.8000258 0.0004000413639388603 0.00016506190476062337
14.9000142 0.0004309138059519015 0.00016969433622743494
15.0000022 0.00038303252474185907 0.00016147421670906762
15.1000184 0.00042724077715761377 0.00016269376235624697
15.1999801 0.00038277826907634753 0.0001583183147591285
15.3000115 0.0004605380374745368 0.00017504934965945963
15.4000504 0.00045455806537385773 0.0001668860398105739
15.4999729 0.00042452572567099186 0.0001582741582092001
15.6000869 0.0004886456010970534 0.00016480159031298375
15.6999717 0.00044445384774201665 0.0001472303944076684
15.8000014 0.00047110646510610223 0.00014889600415808973
15.8999711 0.0004482059499249517 0.00014385177561189222
15.9999797 0.0004132155148816356 0.00013797027301417513
16.100068 0.0004409986584583924 0.00014980945856289004
16.200001 0.00037444349697137645 0.00014748454111807334
16.2999882 0.0003778070857478149 0.0001721236294799942
16.4000304 0.000681782346919474 0.0005407245896845267
16.4999956 0.0006110606928929688 0.0004458240234352247
16.600016 0.0005868956450583321 0.00041338034698318164
16.6999802 0.0005923091899447032 0.00037279762894513123
16.8000024 0.0006875838747532544 0.00037185646676253064
16.8999229 0.0006365596866367784 0.00032476095142672105
16.9999056 0.0006047959188483435 0.0002970689080175049
17.1001703 0.00063832421095597 0.0002744144963342481
17.1999567 0.00066031817311964 0.0002600032601392404
17.3000095 0.00046157432817139514 0.0002111218071858137
17.3998972 0.0004910445490958487 0.00019924407852744418
17.5000441 0.0005241428972907702 0.00019062777010634639
17.6001355 0.0004951820056930174 0.00017108706322748358
17.6998935 0.0005049644800929117 0.0001629955024546489
17.8000898 0.0005061908507562514 0.00015144186264700533
17.8999606 0.0004580036024578244 0.00013533971269800527
18.0000054 0.0004494827494666705 0.00012553759761391877
18.1000503 0.0004533154772696458 0.0001180880536331083
18.2000226 0.00043338283361775464 0.00010822786227735066
18.3000107 0.00041932803962843 0.00010031084470005592
18.3999138 0.0004374149737432535 9.730703062956206e-05
18.4999909 0.00043410453112938954 9.180226477521903e-05
18.6001164 0.000456804777427451 9.070351633584835e-05
18.6999315 0.00046122306208605404 8.755221285652711e-05
18.800015 0.00044444154630054593 8.23241254493965e-05
18.9000079 0.00044226032068324486 7.929683108280631e-05
19.0000672 0.0004526625877136729 7.80735366832654e-05
19.0999693 0.0004344410073178668 7.369168639809057e-05
19.2000238 0.00045173108610458974 7.369527495673318e-05
19.2999755 0.0004219057033332352 6.831340141436416e-05
19.3999891 0.00043333125907707665 6.793314154302361e-05
19.5000192 0.00042603520404158756 6.550415764126062e-05
19.5999875 0.0004026260802526926 6.136384481784268e-05
19.7000347 0.00041905871833148103 6.199041529027592e-05
19.7999553 0.0004177290546962919 6.0710876348666574e-05
19.8998267 0.0004117301954627711 5.9019152771905774e-05
20.000155 0.0003994000601540243 5.671774916381623e-05
